PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Sex_Encoded,Embarked_Encoded,FamilySize,IsAlone,AgeGroup,FareBand
36,0,1,male,42.0,1,0,52.0,S,0,0,2,0,Adult,High
37,1,3,male,28.0,0,0,7.2292,C,0,1,1,1,Young Adult,Low
38,0,3,male,21.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
39,0,3,female,18.0,2,0,18.0,S,1,0,3,0,Young Adult,Medium
40,1,3,female,14.0,1,0,11.2417,C,1,1,2,0,Teen,Medium
41,0,3,female,40.0,1,0,9.475,S,1,0,2,0,Adult,Low
42,0,2,female,27.0,1,0,21.0,S,1,0,2,0,Young Adult,Medium
43,0,3,male,28.0,0,0,7.8958,C,0,1,1,1,Young Adult,Low
44,1,2,female,3.0,1,2,41.5792,C,1,1,4,0,Child,High
45,1,3,female,19.0,0,0,7.8792,Q,1,2,1,1,Young Adult,Low
46,0,3,male,28.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
47,0,3,male,28.0,1,0,15.5,Q,0,2,2,0,Young Adult,Medium
48,1,3,female,28.0,0,0,7.75,Q,1,2,1,1,Young Adult,Low
49,0,3,male,28.0,2,0,21.6792,C,0,1,3,0,Young Adult,Medium
50,0,3,female,18.0,1,0,17.8,S,1,0,2,0,Young Adult,Medium
51,0,3,male,7.0,4,1,39.6875,S,0,0,6,0,Child,High
52,0,3,male,21.0,0,0,7.8,S,0,0,1,1,Young Adult,Low
53,1,1,female,49.0,1,0,76.7292,C,1,1,2,0,Adult,High
54,1,2,female,29.0,1,0,26.0,S,1,0,2,0,Young Adult,Medium
55,0,1,male,65.0,0,1,61.9792,C,0,1,2,0,Senior,High
56,1,1,male,28.0,0,0,35.5,S,0,0,1,1,Young Adult,High
57,1,2,female,21.0,0,0,10.5,S,1,0,1,1,Young Adult,Medium
58,0,3,male,28.5,0,0,7.2292,C,0,1,1,1,Young Adult,Low
59,1,2,female,5.0,1,2,27.75,S,1,0,4,0,Child,Medium
60,0,3,male,11.0,5,2,46.9,S,0,0,8,0,Child,High
61,0,3,male,22.0,0,0,7.2292,C,0,1,1,1,Young Adult,Low
62,1,1,female,38.0,0,0,80.0,S,1,0,1,1,Adult,High
63,0,1,male,45.0,1,0,83.475,S,0,0,2,0,Adult,High
64,0,3,male,4.0,3,2,27.9,S,0,0,6,0,Child,Medium
65,0,1,male,28.0,0,0,27.7208,C,0,1,1,1,Young Adult,Medium
66,1,3,male,28.0,1,1,15.2458,C,0,1,3,0,Young Adult,Medium
67,1,2,female,29.0,0,0,10.5,S,1,0,1,1,Young Adult,Medium
68,0,3,male,19.0,0,0,8.1583,S,0,0,1,1,Young Adult,Low
69,1,3,female,17.0,4,2,7.925,S,1,0,7,0,Teen,Low
70,0,3,male,26.0,2,0,8.6625,S,0,0,3,0,Young Adult,Low
71,0,2,male,32.0,0,0,10.5,S,0,0,1,1,Young Adult,Medium
72,0,3,female,16.0,5,2,46.9,S,1,0,8,0,Teen,High
73,0,2,male,21.0,0,0,73.5,S,0,0,1,1,Young Adult,High
74,0,3,male,26.0,1,0,14.4542,C,0,1,2,0,Young Adult,Medium
75,1,3,male,32.0,0,0,56.4958,S,0,0,1,1,Young Adult,High
76,0,3,male,25.0,0,0,7.65,S,0,0,1,1,Young Adult,Low
77,0,3,male,28.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
78,0,3,male,28.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
79,1,2,male,0.83,0,2,29.0,S,0,0,3,0,Child,Medium
80,1,3,female,30.0,0,0,12.475,S,1,0,1,1,Young Adult,Medium
81,0,3,male,22.0,0,0,9.0,S,0,0,1,1,Young Adult,Low
82,1,3,male,29.0,0,0,9.5,S,0,0,1,1,Young Adult,Low
83,1,3,female,28.0,0,0,7.7875,Q,1,2,1,1,Young Adult,Low
84,0,1,male,28.0,0,0,47.1,S,0,0,1,1,Young Adult,High
85,1,2,female,17.0,0,0,10.5,S,1,0,1,1,Teen,Medium
86,1,3,female,33.0,3,0,15.85,S,1,0,4,0,Young Adult,Medium
87,0,3,male,16.0,1,3,34.375,S,0,0,5,0,Teen,High
88,0,3,male,28.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
89,1,1,female,23.0,3,2,263.0,S,1,0,6,0,Young Adult,Very High
90,0,3,male,24.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
91,0,3,male,29.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
92,0,3,male,20.0,0,0,7.8542,S,0,0,1,1,Young Adult,Low
93,0,1,male,46.0,1,0,61.175,S,0,0,2,0,Adult,High
94,0,3,male,26.0,1,2,20.575,S,0,0,4,0,Young Adult,Medium
95,0,3,male,59.0,0,0,7.25,S,0,0,1,1,Adult,Low
96,0,3,male,28.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
97,0,1,male,71.0,0,0,34.6542,C,0,1,1,1,Senior,High
98,1,1,male,23.0,0,1,63.3583,C,0,1,2,0,Young Adult,High
99,1,2,female,34.0,0,1,23.0,S,1,0,2,0,Young Adult,Medium
100,0,2,male,34.0,1,0,26.0,S,0,0,2,0,Young Adult,Medium
101,0,3,female,28.0,0,0,7.8958,S,1,0,1,1,Young Adult,Low
102,0,3,male,28.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
103,0,1,male,21.0,0,1,77.2875,S,0,0,2,0,Young Adult,High
104,0,3,male,33.0,0,0,8.6542,S,0,0,1,1,Young Adult,Low
105,0,3,male,37.0,2,0,7.925,S,0,0,3,0,Adult,Low
106,0,3,male,28.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
107,1,3,female,21.0,0,0,7.65,S,1,0,1,1,Young Adult,Low
108,1,3,male,28.0,0,0,7.775,S,0,0,1,1,Young Adult,Low
109,0,3,male,38.0,0,0,7.8958,S,0,0,1,1,Adult,Low
110,1,3,female,28.0,1,0,24.15,Q,1,2,2,0,Young Adult,Medium
111,0,1,male,47.0,0,0,52.0,S,0,0,1,1,Adult,High
112,0,3,female,14.5,1,0,14.4542,C,1,1,2,0,Teen,Medium
113,0,3,male,22.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
114,0,3,female,20.0,1,0,9.825,S,1,0,2,0,Young Adult,Low
115,0,3,female,17.0,0,0,14.4583,C,1,1,1,1,Teen,Medium
116,0,3,male,21.0,0,0,7.925,S,0,0,1,1,Young Adult,Low
117,0,3,male,70.5,0,0,7.75,Q,0,2,1,1,Senior,Low
118,0,2,male,29.0,1,0,21.0,S,0,0,2,0,Young Adult,Medium
119,0,1,male,24.0,0,1,247.5208,C,0,1,2,0,Young Adult,Very High
120,0,3,female,2.0,4,2,31.275,S,1,0,7,0,Child,High
121,0,2,male,21.0,2,0,73.5,S,0,0,3,0,Young Adult,High
122,0,3,male,28.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
123,0,2,male,32.5,1,0,30.0708,C,0,1,2,0,Young Adult,High
124,1,2,female,32.5,0,0,13.0,S,1,0,1,1,Young Adult,Medium
125,0,1,male,54.0,0,1,77.2875,S,0,0,2,0,Adult,High
126,1,3,male,12.0,1,0,11.2417,C,0,1,2,0,Child,Medium
127,0,3,male,28.0,0,0,7.75,Q,0,2,1,1,Young Adult,Low
128,1,3,male,24.0,0,0,7.1417,S,0,0,1,1,Young Adult,Low
129,1,3,female,28.0,1,1,22.3583,C,1,1,3,0,Young Adult,Medium
130,0,3,male,45.0,0,0,6.975,S,0,0,1,1,Adult,Low
131,0,3,male,33.0,0,0,7.8958,C,0,1,1,1,Young Adult,Low
132,0,3,male,20.0,0,0,7.05,S,0,0,1,1,Young Adult,Low
133,0,3,female,47.0,1,0,14.5,S,1,0,2,0,Adult,Medium
134,1,2,female,29.0,1,0,26.0,S,1,0,2,0,Young Adult,Medium
135,0,2,male,25.0,0,0,13.0,S,0,0,1,1,Young Adult,Medium
136,0,2,male,23.0,0,0,15.0458,C,0,1,1,1,Young Adult,Medium
137,1,1,female,19.0,0,2,26.2833,S,1,0,3,0,Young Adult,Medium
138,0,1,male,37.0,1,0,53.1,S,0,0,2,0,Adult,High
139,0,3,male,16.0,0,0,9.2167,S,0,0,1,1,Teen,Low
140,0,1,male,24.0,0,0,79.2,C,0,1,1,1,Young Adult,High
141,0,3,female,28.0,0,2,15.2458,C,1,1,3,0,Young Adult,Medium
142,1,3,female,22.0,0,0,7.75,S,1,0,1,1,Young Adult,Low
143,1,3,female,24.0,1,0,15.85,S,1,0,2,0,Young Adult,Medium
144,0,3,male,19.0,0,0,6.75,Q,0,2,1,1,Young Adult,Low
145,0,2,male,18.0,0,0,11.5,S,0,0,1,1,Young Adult,Medium
146,0,2,male,19.0,1,1,36.75,S,0,0,3,0,Young Adult,High
147,1,3,male,27.0,0,0,7.7958,S,0,0,1,1,Young Adult,Low
148,0,3,female,9.0,2,2,34.375,S,1,0,5,0,Child,High
149,0,2,male,36.5,0,2,26.0,S,0,0,3,0,Adult,Medium
150,0,2,male,42.0,0,0,13.0,S,0,0,1,1,Adult,Medium
151,0,2,male,51.0,0,0,12.525,S,0,0,1,1,Adult,Medium
152,1,1,female,22.0,1,0,66.6,S,1,0,2,0,Young Adult,High
153,0,3,male,55.5,0,0,8.05,S,0,0,1,1,Adult,Low
154,0,3,male,40.5,0,2,14.5,S,0,0,3,0,Adult,Medium
155,0,3,male,28.0,0,0,7.3125,S,0,0,1,1,Young Adult,Low
156,0,1,male,51.0,0,1,61.3792,C,0,1,2,0,Adult,High
157,1,3,female,16.0,0,0,7.7333,Q,1,2,1,1,Teen,Low
158,0,3,male,30.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
159,0,3,male,28.0,0,0,8.6625,S,0,0,1,1,Young Adult,Low
160,0,3,male,28.0,8,2,69.55,S,0,0,11,0,Young Adult,High
161,0,3,male,44.0,0,1,16.1,S,0,0,2,0,Adult,Medium
162,1,2,female,40.0,0,0,15.75,S,1,0,1,1,Adult,Medium
163,0,3,male,26.0,0,0,7.775,S,0,0,1,1,Young Adult,Low
164,0,3,male,17.0,0,0,8.6625,S,0,0,1,1,Teen,Low
165,0,3,male,1.0,4,1,39.6875,S,0,0,6,0,Child,High
166,1,3,male,9.0,0,2,20.525,S,0,0,3,0,Child,Medium
167,1,1,female,28.0,0,1,55.0,S,1,0,2,0,Young Adult,High
168,0,3,female,45.0,1,4,27.9,S,1,0,6,0,Adult,Medium
169,0,1,male,28.0,0,0,25.925,S,0,0,1,1,Young Adult,Medium
170,0,3,male,28.0,0,0,56.4958,S,0,0,1,1,Young Adult,High
171,0,1,male,61.0,0,0,33.5,S,0,0,1,1,Senior,High
172,0,3,male,4.0,4,1,29.125,Q,0,2,6,0,Child,Medium
173,1,3,female,1.0,1,1,11.1333,S,1,0,3,0,Child,Medium
174,0,3,male,21.0,0,0,7.925,S,0,0,1,1,Young Adult,Low
175,0,1,male,56.0,0,0,30.6958,C,0,1,1,1,Adult,High
176,0,3,male,18.0,1,1,7.8542,S,0,0,3,0,Young Adult,Low
177,0,3,male,28.0,3,1,25.4667,S,0,0,5,0,Young Adult,Medium
178,0,1,female,50.0,0,0,28.7125,C,1,1,1,1,Adult,Medium
179,0,2,male,30.0,0,0,13.0,S,0,0,1,1,Young Adult,Medium
180,0,3,male,36.0,0,0,0.0,S,0,0,1,1,Adult,Low
181,0,3,female,28.0,8,2,69.55,S,1,0,11,0,Young Adult,High
182,0,2,male,28.0,0,0,15.05,C,0,1,1,1,Young Adult,Medium
183,0,3,male,9.0,4,2,31.3875,S,0,0,7,0,Child,High
184,1,2,male,1.0,2,1,39.0,S,0,0,4,0,Child,High
185,1,3,female,4.0,0,2,22.025,S,1,0,3,0,Child,Medium
186,0,1,male,28.0,0,0,50.0,S,0,0,1,1,Young Adult,High
187,1,3,female,28.0,1,0,15.5,Q,1,2,2,0,Young Adult,Medium
188,1,1,male,45.0,0,0,26.55,S,0,0,1,1,Adult,Medium
189,0,3,male,40.0,1,1,15.5,Q,0,2,3,0,Adult,Medium
190,0,3,male,36.0,0,0,7.8958,S,0,0,1,1,Adult,Low
191,1,2,female,32.0,0,0,13.0,S,1,0,1,1,Young Adult,Medium
192,0,2,male,19.0,0,0,13.0,S,0,0,1,1,Young Adult,Medium
193,1,3,female,19.0,1,0,7.8542,S,1,0,2,0,Young Adult,Low
194,1,2,male,3.0,1,1,26.0,S,0,0,3,0,Child,Medium
195,1,1,female,44.0,0,0,27.7208,C,1,1,1,1,Adult,Medium
196,1,1,female,58.0,0,0,146.5208,C,1,1,1,1,Adult,Very High
197,0,3,male,28.0,0,0,7.75,Q,0,2,1,1,Young Adult,Low
198,0,3,male,42.0,0,1,8.4042,S,0,0,2,0,Adult,Low
199,1,3,female,28.0,0,0,7.75,Q,1,2,1,1,Young Adult,Low
200,0,2,female,24.0,0,0,13.0,S,1,0,1,1,Young Adult,Medium
201,0,3,male,28.0,0,0,9.5,S,0,0,1,1,Young Adult,Low
202,0,3,male,28.0,8,2,69.55,S,0,0,11,0,Young Adult,High
203,0,3,male,34.0,0,0,6.4958,S,0,0,1,1,Young Adult,Low
204,0,3,male,45.5,0,0,7.225,C,0,1,1,1,Adult,Low
205,1,3,male,18.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
206,0,3,female,2.0,0,1,10.4625,S,1,0,2,0,Child,Medium
207,0,3,male,32.0,1,0,15.85,S,0,0,2,0,Young Adult,Medium
208,1,3,male,26.0,0,0,18.7875,C,0,1,1,1,Young Adult,Medium
209,1,3,female,16.0,0,0,7.75,Q,1,2,1,1,Teen,Low
210,1,1,male,40.0,0,0,31.0,C,0,1,1,1,Adult,High
211,0,3,male,24.0,0,0,7.05,S,0,0,1,1,Young Adult,Low
212,1,2,female,35.0,0,0,21.0,S,1,0,1,1,Young Adult,Medium
213,0,3,male,22.0,0,0,7.25,S,0,0,1,1,Young Adult,Low
214,0,2,male,30.0,0,0,13.0,S,0,0,1,1,Young Adult,Medium
215,0,3,male,28.0,1,0,7.75,Q,0,2,2,0,Young Adult,Low
216,1,1,female,31.0,1,0,113.275,C,1,1,2,0,Young Adult,Very High
217,1,3,female,27.0,0,0,7.925,S,1,0,1,1,Young Adult,Low
218,0,2,male,42.0,1,0,27.0,S,0,0,2,0,Adult,Medium
219,1,1,female,32.0,0,0,76.2917,C,1,1,1,1,Young Adult,High
220,0,2,male,30.0,0,0,10.5,S,0,0,1,1,Young Adult,Medium
221,1,3,male,16.0,0,0,8.05,S,0,0,1,1,Teen,Low
222,0,2,male,27.0,0,0,13.0,S,0,0,1,1,Young Adult,Medium
223,0,3,male,51.0,0,0,8.05,S,0,0,1,1,Adult,Low
224,0,3,male,28.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
225,1,1,male,38.0,1,0,90.0,S,0,0,2,0,Adult,High
226,0,3,male,22.0,0,0,9.35,S,0,0,1,1,Young Adult,Low
227,1,2,male,19.0,0,0,10.5,S,0,0,1,1,Young Adult,Medium
228,0,3,male,20.5,0,0,7.25,S,0,0,1,1,Young Adult,Low
229,0,2,male,18.0,0,0,13.0,S,0,0,1,1,Young Adult,Medium
230,0,3,female,28.0,3,1,25.4667,S,1,0,5,0,Young Adult,Medium
231,1,1,female,35.0,1,0,83.475,S,1,0,2,0,Young Adult,High
232,0,3,male,29.0,0,0,7.775,S,0,0,1,1,Young Adult,Low
233,0,2,male,59.0,0,0,13.5,S,0,0,1,1,Adult,Medium
234,1,3,female,5.0,4,2,31.3875,S,1,0,7,0,Child,High
235,0,2,male,24.0,0,0,10.5,S,0,0,1,1,Young Adult,Medium
236,0,3,female,28.0,0,0,7.55,S,1,0,1,1,Young Adult,Low
237,0,2,male,44.0,1,0,26.0,S,0,0,2,0,Adult,Medium
238,1,2,female,8.0,0,2,26.25,S,1,0,3,0,Child,Medium
239,0,2,male,19.0,0,0,10.5,S,0,0,1,1,Young Adult,Medium
240,0,2,male,33.0,0,0,12.275,S,0,0,1,1,Young Adult,Medium
241,0,3,female,28.0,1,0,14.4542,C,1,1,2,0,Young Adult,Medium
242,1,3,female,28.0,1,0,15.5,Q,1,2,2,0,Young Adult,Medium
243,0,2,male,29.0,0,0,10.5,S,0,0,1,1,Young Adult,Medium
244,0,3,male,22.0,0,0,7.125,S,0,0,1,1,Young Adult,Low
245,0,3,male,30.0,0,0,7.225,C,0,1,1,1,Young Adult,Low
246,0,1,male,44.0,2,0,90.0,Q,0,2,3,0,Adult,High
247,0,3,female,25.0,0,0,7.775,S,1,0,1,1,Young Adult,Low
248,1,2,female,24.0,0,2,14.5,S,1,0,3,0,Young Adult,Medium
249,1,1,male,37.0,1,1,52.5542,S,0,0,3,0,Adult,High
250,0,2,male,54.0,1,0,26.0,S,0,0,2,0,Adult,Medium
251,0,3,male,28.0,0,0,7.25,S,0,0,1,1,Young Adult,Low
252,0,3,female,29.0,1,1,10.4625,S,1,0,3,0,Young Adult,Medium
253,0,1,male,62.0,0,0,26.55,S,0,0,1,1,Senior,Medium
254,0,3,male,30.0,1,0,16.1,S,0,0,2,0,Young Adult,Medium
255,0,3,female,41.0,0,2,20.2125,S,1,0,3,0,Adult,Medium
256,1,3,female,29.0,0,2,15.2458,C,1,1,3,0,Young Adult,Medium
257,1,1,female,28.0,0,0,79.2,C,1,1,1,1,Young Adult,High
258,1,1,female,30.0,0,0,86.5,S,1,0,1,1,Young Adult,High
259,1,1,female,35.0,0,0,512.3292,C,1,1,1,1,Young Adult,Very High
260,1,2,female,50.0,0,1,26.0,S,1,0,2,0,Adult,Medium
261,0,3,male,28.0,0,0,7.75,Q,0,2,1,1,Young Adult,Low
262,1,3,male,3.0,4,2,31.3875,S,0,0,7,0,Child,High
263,0,1,male,52.0,1,1,79.65,S,0,0,3,0,Adult,High
264,0,1,male,40.0,0,0,0.0,S,0,0,1,1,Adult,Low
265,0,3,female,28.0,0,0,7.75,Q,1,2,1,1,Young Adult,Low
266,0,2,male,36.0,0,0,10.5,S,0,0,1,1,Adult,Medium
267,0,3,male,16.0,4,1,39.6875,S,0,0,6,0,Teen,High
268,1,3,male,25.0,1,0,7.775,S,0,0,2,0,Young Adult,Low
269,1,1,female,58.0,0,1,153.4625,S,1,0,2,0,Adult,Very High
270,1,1,female,35.0,0,0,135.6333,S,1,0,1,1,Young Adult,Very High
271,0,1,male,28.0,0,0,31.0,S,0,0,1,1,Young Adult,High
272,1,3,male,25.0,0,0,0.0,S,0,0,1,1,Young Adult,Low
273,1,2,female,41.0,0,1,19.5,S,1,0,2,0,Adult,Medium
274,0,1,male,37.0,0,1,29.7,C,0,1,2,0,Adult,Medium
275,1,3,female,28.0,0,0,7.75,Q,1,2,1,1,Young Adult,Low
276,1,1,female,63.0,1,0,77.9583,S,1,0,2,0,Senior,High
277,0,3,female,45.0,0,0,7.75,S,1,0,1,1,Adult,Low
278,0,2,male,28.0,0,0,0.0,S,0,0,1,1,Young Adult,Low
279,0,3,male,7.0,4,1,29.125,Q,0,2,6,0,Child,Medium
280,1,3,female,35.0,1,1,20.25,S,1,0,3,0,Young Adult,Medium
281,0,3,male,65.0,0,0,7.75,Q,0,2,1,1,Senior,Low
282,0,3,male,28.0,0,0,7.8542,S,0,0,1,1,Young Adult,Low
283,0,3,male,16.0,0,0,9.5,S,0,0,1,1,Teen,Low
284,1,3,male,19.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
285,0,1,male,28.0,0,0,26.0,S,0,0,1,1,Young Adult,Medium
286,0,3,male,33.0,0,0,8.6625,C,0,1,1,1,Young Adult,Low
287,1,3,male,30.0,0,0,9.5,S,0,0,1,1,Young Adult,Low
288,0,3,male,22.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
289,1,2,male,42.0,0,0,13.0,S,0,0,1,1,Adult,Medium
290,1,3,female,22.0,0,0,7.75,Q,1,2,1,1,Young Adult,Low
291,1,1,female,26.0,0,0,78.85,S,1,0,1,1,Young Adult,High
292,1,1,female,19.0,1,0,91.0792,C,1,1,2,0,Young Adult,High
293,0,2,male,36.0,0,0,12.875,C,0,1,1,1,Adult,Medium
294,0,3,female,24.0,0,0,8.85,S,1,0,1,1,Young Adult,Low
295,0,3,male,24.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
296,0,1,male,28.0,0,0,27.7208,C,0,1,1,1,Young Adult,Medium
297,0,3,male,23.5,0,0,7.2292,C,0,1,1,1,Young Adult,Low
298,0,1,female,2.0,1,2,151.55,S,1,0,4,0,Child,Very High
299,1,1,male,28.0,0,0,30.5,S,0,0,1,1,Young Adult,High
300,1,1,female,50.0,0,1,247.5208,C,1,1,2,0,Adult,Very High
301,1,3,female,28.0,0,0,7.75,Q,1,2,1,1,Young Adult,Low
302,1,3,male,28.0,2,0,23.25,Q,0,2,3,0,Young Adult,Medium
303,0,3,male,19.0,0,0,0.0,S,0,0,1,1,Young Adult,Low
304,1,2,female,28.0,0,0,12.35,Q,1,2,1,1,Young Adult,Medium
305,0,3,male,28.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
306,1,1,male,0.92,1,2,151.55,S,0,0,4,0,Child,Very High
307,1,1,female,28.0,0,0,110.8833,C,1,1,1,1,Young Adult,Very High
308,1,1,female,17.0,1,0,108.9,C,1,1,2,0,Teen,Very High
309,0,2,male,30.0,1,0,24.0,C,0,1,2,0,Young Adult,Medium
310,1,1,female,30.0,0,0,56.9292,C,1,1,1,1,Young Adult,High
311,1,1,female,24.0,0,0,83.1583,C,1,1,1,1,Young Adult,High
312,1,1,female,18.0,2,2,262.375,C,1,1,5,0,Young Adult,Very High
313,0,2,female,26.0,1,1,26.0,S,1,0,3,0,Young Adult,Medium
314,0,3,male,28.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
315,0,2,male,43.0,1,1,26.25,S,0,0,3,0,Adult,Medium
316,1,3,female,26.0,0,0,7.8542,S,1,0,1,1,Young Adult,Low
317,1,2,female,24.0,1,0,26.0,S,1,0,2,0,Young Adult,Medium
318,0,2,male,54.0,0,0,14.0,S,0,0,1,1,Adult,Medium
319,1,1,female,31.0,0,2,164.8667,S,1,0,3,0,Young Adult,Very High
320,1,1,female,40.0,1,1,134.5,C,1,1,3,0,Adult,Very High
321,0,3,male,22.0,0,0,7.25,S,0,0,1,1,Young Adult,Low
322,0,3,male,27.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
323,1,2,female,30.0,0,0,12.35,Q,1,2,1,1,Young Adult,Medium
324,1,2,female,22.0,1,1,29.0,S,1,0,3,0,Young Adult,Medium
325,0,3,male,28.0,8,2,69.55,S,0,0,11,0,Young Adult,High
326,1,1,female,36.0,0,0,135.6333,C,1,1,1,1,Adult,Very High
327,0,3,male,61.0,0,0,6.2375,S,0,0,1,1,Senior,Low
328,1,2,female,36.0,0,0,13.0,S,1,0,1,1,Adult,Medium
329,1,3,female,31.0,1,1,20.525,S,1,0,3,0,Young Adult,Medium
330,1,1,female,16.0,0,1,57.9792,C,1,1,2,0,Teen,High
331,1,3,female,28.0,2,0,23.25,Q,1,2,3,0,Young Adult,Medium
332,0,1,male,45.5,0,0,28.5,S,0,0,1,1,Adult,Medium
333,0,1,male,38.0,0,1,153.4625,S,0,0,2,0,Adult,Very High
334,0,3,male,16.0,2,0,18.0,S,0,0,3,0,Teen,Medium
335,1,1,female,28.0,1,0,133.65,S,1,0,2,0,Young Adult,Very High
336,0,3,male,28.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
337,0,1,male,29.0,1,0,66.6,S,0,0,2,0,Young Adult,High
338,1,1,female,41.0,0,0,134.5,C,1,1,1,1,Adult,Very High
339,1,3,male,45.0,0,0,8.05,S,0,0,1,1,Adult,Low
340,0,1,male,45.0,0,0,35.5,S,0,0,1,1,Adult,High
341,1,2,male,2.0,1,1,26.0,S,0,0,3,0,Child,Medium
342,1,1,female,24.0,3,2,263.0,S,1,0,6,0,Young Adult,Very High
343,0,2,male,28.0,0,0,13.0,S,0,0,1,1,Young Adult,Medium
344,0,2,male,25.0,0,0,13.0,S,0,0,1,1,Young Adult,Medium
345,0,2,male,36.0,0,0,13.0,S,0,0,1,1,Adult,Medium
346,1,2,female,24.0,0,0,13.0,S,1,0,1,1,Young Adult,Medium
347,1,2,female,40.0,0,0,13.0,S,1,0,1,1,Adult,Medium
348,1,3,female,28.0,1,0,16.1,S,1,0,2,0,Young Adult,Medium
349,1,3,male,3.0,1,1,15.9,S,0,0,3,0,Child,Medium
350,0,3,male,42.0,0,0,8.6625,S,0,0,1,1,Adult,Low
351,0,3,male,23.0,0,0,9.225,S,0,0,1,1,Young Adult,Low
352,0,1,male,28.0,0,0,35.0,S,0,0,1,1,Young Adult,High
353,0,3,male,15.0,1,1,7.2292,C,0,1,3,0,Teen,Low
354,0,3,male,25.0,1,0,17.8,S,0,0,2,0,Young Adult,Medium
355,0,3,male,28.0,0,0,7.225,C,0,1,1,1,Young Adult,Low
356,0,3,male,28.0,0,0,9.5,S,0,0,1,1,Young Adult,Low
